Temporary,Array,Interruption,Error
Intermittent,Systems,Destabilization,Problem
Partial,Hardware,Destruction,Warning
Redundant,Software,Desynchronisation,Signal
Total,Firmware,Failure,Flag
Multiplexed,Backplane,Dereferencing,
Inherent,Logic-Subsystem,Overflow,
Duplicated,Integrity,Underflow,
Dual-Homed,Subsystem,NMI,
Synchronous,Memory,Interrupt,
Bidirectional,Comms,Corruption,
Serial,Integrity,Anomaly,
Asynchronous,Checksum,Seizure,
Multiple,Protocol,Override,
Replicated,Parity,Reclock,
Non-Replicated,Bus,Rejection,
Unregistered,Timing,Invalidation,
Non-Specific,Synchronization,Halt,
Generic,Topology,Exhaustion,
Migrated,Transmission,Infection,
Localized,Reception,Incompatibility,
Resignalled,Stack,Timeout,
Dereferenced,Framing,Expiry,
Nullified,Code,Unavailability,
Aborted,Programming,Bug,
Serious,Peripheral,Condition,
Minor,Environmental,Crash,
Major,Loading,Dump,
Extraneous,Operation,Crashdump,
Illegal,Parameter,Stackdump,
Insufficient,Syntax,Problem,
Viral,Initialization,Lockout,
Unsupported,Execution,,
Outmoded,Resource,,
Legacy,Encryption,,
Permanent,Decryption,,
Invalid,File,,
Deprecated,Precondition,,
Virtual,Authentication,,
Unreportable,Paging,,
Undetermined,Swapfile,,
Undiagnosable,Service,,
Unfiltered,Gateway,,
Static,Request,,
Dynamic,Proxy,,
Delayed,Media,,
Immediate,Registry,,
Nonfatal,Configuration,,
Fatal,Metadata,,
Non-Valid,Streaming,,
Unvalidated,Retrieval,,
Non-Static,Installation,,
Unreplicatable,Library,,
Non-Serious,Handler,,
